INDIR,FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,Fmin,Fmean,Fmax,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,TOP1MATCH,TOP1DIST,TOP2MATCH,TOP2DIST,TOP3MATCH,TOP3DIST,VOCALIZATIONS,MANUAL ID*,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200507_070102.wav,0,3025.06665,1.386667,398.438,540.679,679.688,2020-05-07,07:51:27.065,7,2020-05-06,19:51:27.065,19,cluster.4,1.325374,cluster.2,1.343753,cluster.1,1.361216,1,Lyrtet_rugolio,,,,,BN/jpxkcBbtkff3EOxXryg==
D:\LYRTET2020,Riederalp\LT2_VS_645670-137586\0504_0516\Data,LT2_20200512_053000.wav,0,261.162659,1.493333,445.313,547.743,679.688,2020-05-12,05:34:21.161,5,2020-05-11,17:34:21.161,17,cluster.4,1.325392,cluster.1,1.37559,cluster.5,1.385813,1,Lyrtet_rugolio,,,,,WW10wa0/Bv78FEQupSsfCA==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200504_080502.wav,0,2111.061279,1.6,468.75,579.627,726.563,2020-05-04,08:40:13.060,8,2020-05-03,20:40:13.060,20,cluster.4,1.325398,cluster.0,1.376341,cluster.2,1.379952,1,Lyrtet_rugolio,,,,,N4enHBi2NgcjnDX0mv3fNg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione1_25.04-03.05.2020\Data,LT1-ALKA_20200427_071602.wav,0,3456.746582,1.92,421.875,547.175,703.125,2020-04-27,08:13:38.746,8,2020-04-26,20:13:38.746,20,cluster.4,1.325404,cluster.2,1.327411,cluster.1,1.354602,1,Lyrtet_rugolio,,,,,eK4rBI83qlCFkOlJQjdP9Q==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200508_080002.wav,0,819.434692,1.642667,468.75,555.367,679.688,2020-05-08,08:13:41.433,8,2020-05-07,20:13:41.433,20,cluster.4,1.325419,cluster.1,1.362189,cluster.0,1.362914,1,Lyrtet_rugolio,,,,,taofpO8aaieO71MgMv2yCw==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione1_25.04-03.05.2020\Data,LT1-ALKA_20200427_061602.wav,0,881.023987,1.621333,445.313,558.443,679.688,2020-04-27,06:30:43.024,6,2020-04-26,18:30:43.024,18,cluster.4,1.325423,cluster.1,1.374268,cluster.2,1.383899,1,Lyrtet_rugolio,,,,,f7X8RgJORYqRSqh29PmINA==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200507_060102.wav,0,556.757324,1.642667,421.875,540.153,656.25,2020-05-07,06:10:18.757,6,2020-05-06,18:10:18.757,18,cluster.4,1.325447,cluster.1,1.373683,cluster.2,1.380604,1,Lyrtet_rugolio,,,,,v8Mqh/734ZmXCVT7rnNxFw==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione1_25.04-03.05.2020\Data,LT1-ALKA_20200427_061602.wav,0,1554.794678,1.621333,421.875,559.053,679.688,2020-04-27,06:41:56.793,6,2020-04-26,18:41:56.793,18,cluster.4,1.325454,cluster.0,1.327742,cluster.2,1.337689,1,Lyrtet_rugolio,,,,,f7X8RgJORYqRSqh29PmINA==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200508_070002.wav,0,3542.656006,1.728,421.875,523.438,679.688,2020-05-08,07:59:04.655,7,2020-05-07,19:59:04.655,19,cluster.4,1.325462,cluster.1,1.374021,cluster.5,1.376849,1,Lyrtet_rugolio,,,,,4i2gAf/QV8M99pMCJSaRYA==
D:\LYRTET2020,Riederalp\LT2_VS_645670-137586\0418_0503\Data,LT2_20200429_083001.wav,0,692.58667,1.92,445.313,556.386,726.563,2020-04-29,08:41:33.585,8,2020-04-28,20:41:33.585,20,cluster.4,1.325467,cluster.5,1.383276,cluster.2,1.392209,1,Lyrtet_rugolio,,,,,Xd6S2fWBj71qY4YLB5PeVg==
